Index,Query,LLM Output,call_order,raw_args
6XVODJ,고정 공기 청정 가동 시작해줘 그 다음에 현재 온도 표시는 화씨입니까,<function_PG>();<function_EW>(get=True)<end>,0,
6YUZDS,고정 공기 청정 실행해줘 그리고 나이트 모드 비활성화해줘,<function_PG>();<function_BS>(enable=False)<end>,0,
6YYYLS,고정 공청 기능 켜줘 또 나이트 모드 켜줘,<function_PG>();<function_BS>(enable=True)<end>,0,
6ZHLSD,고정 공기 청정 가동 시작해줘 다음으로 지금 여성 목소리로 설정된 건가요,<function_PG>();<function_GQ>(get=True)<end>,0,
7APUCU,청정 켜봐 또 혹시 에이아이 모드 동시에 꺼주실 수 있나요,"<function_PG>();<function_BP>(enable=1, type=2)<end>",0,
7AYZUL,고정 공기 청정 실행해줘 그러고 나서 매너모드 활성화해줘,<function_PG>();<function_ZX>(enable=True)<end>,0,
7CBUIN,고정 공기 청정 가동 시작해줘 이어서 에이아이 모드의 외부 대기 상태 연동 꺼줘,"<function_PG>();<function_BP>(enable=1, type=0)<end>",0,
7CMQXP,고정 공기 청정 실행해줘 그 다음에 스캐닝 공기청정 상태가 어떤가요,<function_PG>();<function_IH>(get=True)<end>,0,
7CPARS,고정 청정 온 또 공기질 상태 표시가 켜져있는지 확인해볼래,<function_PG>();<function_SC>(get=True)<end>,0,
7CTFPV,고정 공청 기능 켜줘 이어서 스캐닝 청정 꺼줘,<function_PG>();<function_IH>(scan=False)<end>,0,
7DMKYX,고정 공청 기능 켜줘 음성 인지 작동 시작해줘,<function_PG>();<function_QT>(enable=True)<end>,0,
7FNHYW,고정 공기 청정 가동 시작해줘 그리고 풍속 자동으로 해줘,<function_PG>();<function_NK>(speed=0)<end>,0,
7FZGSP,고정 공청 기능 켜줘 다음으로 월요일 기기 근처 공기 상태는 어때,"<function_PG>();<function_IO>(timeframe=3, location=""0"")<end>",0,
7HCMCN,청정 켜봐 그리고 화요일 대기질 정보를 화면에 보여줄래,"<function_PG>();<function_IO>(timeframe=4, location=""0"")<end>",0,
7JGIPM,고정 공기 청정 가동 시작해줘 유부이 에릴디 오프 부탁해,<function_PG>();<function_NN>(enable=False)<end>,0,
7KJHBB,고정 공청 기능 켜줘 그 다음에 음성 인지 시스템 종료해,<function_PG>();<function_QT>(enable=False)<end>,0,
7LLIVM,고정 공청 기능 켜줘 다음으로 스테이션 위치로 복귀하세요,<function_PG>();<function_KI>()<end>,0,
7OKUYC,고정 청정 온 그리고 음성을 여성으로 전환해줄래,<function_PG>();<function_GQ>(gender=1)<end>,0,
7OYGMS,고정 공청 기능 켜줘 그리고 듣기 모드 시작해,<function_PG>();<function_QT>(enable=True)<end>,0,
7OYUPX,고정 청정 온 그리고 미디음의 볼륨 몇 단계인지 말해줄래,<function_PG>();<function_ZV>(get=True)<end>,0,
7POBKE,고정 청정 온 토요일 광진구 날씨 몇 도야,"<function_PG>();<function_MO>(timeframe=8, location=광진구)<end>",0,
7QSWTV,고정 공기 청정 가동 시작해줘 그리고 일요일 날씨 추울까,"<function_PG>();<function_MO>(timeframe=9, location=""0"")<end>",0,
7RDMOP,고정 청정 온 그러고 나서 내일 서울 날씨 비 와,"<function_PG>();<function_MO>(timeframe=1, location=서울)<end>",0,
7RQYWW,고정 공기 청정 가동 시작해줘 그러고 나서 공기질 아이 표시 기능 해제해줘,<function_PG>();<function_SC>(enable=False)<end>,0,
7SKFSY,청정 켜봐 그리고 오늘 진짜 쳐진다,<function_PG>();<function_MR>()<end>,0,
7TCOHO,청정 켜봐 그리고 청주 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=0, location=청주)<end>",0,
7VHMQC,고정 공기 청정 가동 시작해줘 그 다음에 어떤 테마를 사용하고 있는지 알려주실래요,<function_PG>();<function_HG>(get=True)<end>,0,
7VJWQX,고정 공기 청정 실행해줘 다음으로 모스크바의 월요일 날씨 정보 표시해줄래,"<function_PG>();<function_MO>(timeframe=3, location=모스크바)<end>",0,
7VMRTG,고정 공기 청정 실행해줘 이어서 지금 어디서 청정하고 있는지 알려줄 수 있어,<function_PG>();<function_ID>(get=True)<end>,0,
7XYILT,고정 공기 청정 실행해줘 그 다음에 월요일 모스크바 미세먼지 어때,"<function_PG>();<function_IO>(timeframe=3, location=모스크바)<end>",0,
7YYWPE,고정 공기 청정 실행해줘 또 수요일 날씨 정보 표시해줄래,"<function_PG>();<function_MO>(timeframe=5, location=""0"")<end>",0,
7ZVPTZ,고정 청정 온 그 후에 음소거 비활성화 해줘,<function_PG>();<function_MV>(mute=False)<end>,0,
8AESFS,고정 공청 기능 켜줘 그리고 내일 날씨 추울까,"<function_PG>();<function_MO>(timeframe=1, location=""0"")<end>",0,
8BURAO,청정 켜봐 또 주말 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=2, location=""0"")<end>",0,
8CCEUL,고정 공기 청정 가동 시작해줘 그 후에 화요일 홍콩 공기질 때문에 마스크 써야 할까,"<function_PG>();<function_IO>(timeframe=4, location=홍콩)<end>",0,
8CMQRI,청정 켜봐 그리고 엘씨디 화면 밝기를 영단계로 조절해줄래,<function_PG>();<function_WN>(brightness=0)<end>,0,
8DIDAD,고정 공청 기능 켜줘 또 음소거 기능 활성화를 원해요,<function_PG>();<function_MV>(mute=True)<end>,0,
8GJVOA,고정 청정 온 일요일 해운대 대기질을 화면에 보여줘,"<function_PG>();<function_IO>(timeframe=9, location=해운대)<end>",0,
8HIMEF,고정 공기 청정 가동 시작해줘 그리고 수요일 날씨 몇 도야,"<function_PG>();<function_MO>(timeframe=5, location=""0"")<end>",0,
8ICJRP,고정 공기 청정 실행해줘 소리 볼륨을 삼으로 맞춰줘,<function_PG>();<function_ZV>(volume=3)<end>,0,
8JIRLX,청정 켜봐 지금 하는 작업 일시 정지해줄래요,<function_PG>();<function_YA>(move=1)<end>,0,
8JXEKY,고정 공기 청정 실행해줘 그 다음에 오늘 샌프란시스코 날씨 몇 도야,"<function_PG>();<function_MO>(timeframe=0, location=샌프란시스코)<end>",0,
8KXSPQ,고정 공기 청정 가동 시작해줘 그 후에 프라이버시 작동시켜,<function_PG>();<function_GN>(enable=True)<end>,0,
8KYNST,고정 청정 온 이어서 티티에스 볼륨을 이십프로로 바꿔줘,<function_PG>();<function_ZV>(volume=1)<end>,0,
8LSZZZ,고정 공기 청정 가동 시작해줘 그리고 멕시코시티의 화요일 날씨 정보 표시해줄래,"<function_PG>();<function_MO>(timeframe=4, location=멕시코시티)<end>",0,
8MIUMG,청정 켜봐 그리고 매너모드 꺼주세요,<function_PG>();<function_ZX>(enable=False)<end>,0,
8OFPEF,고정 청정 모드 켜줘,<function_PG>()<end>,0,
8POKRN,고정 공청 기능 켜줘 이어서 부설연구소 공기 청정이 필요해,<function_PG>();<function_FF>(position=부설연구소)<end>,0,
8QYFBB,청정 켜봐 온도 표시를 섭씨로 설정해주세요,<function_PG>();<function_EW>(type=0)<end>,0,
8RQMJU,이 영화 봤어 그리고 고정 청정 온,<function_MR>();<function_PG>()<end>,1,
8SMQTL,청정 켜봐 그러고 나서 오늘 날씨 어때,"<function_PG>();<function_MO>(timeframe=0, location=""0"")<end>",0,
8TKJFA,고정 공청 기능 켜줘 또 대기화면을 기본 테마로 전환해주실래요,<function_PG>();<function_HG>(theme=0)<end>,0,
8TQCNZ,청정 켜봐 그 후에 효과음을 5단계로 바꿔줘,<function_PG>();<function_ZV>(volume=5)<end>,0,
8UVIOZ,청정 켜봐 다음으로 공기질 상태 표시 작동 정지해,<function_PG>();<function_SC>(enable=False)<end>,0,
8WAPZQ,고정 공기 청정 실행해줘 다음으로 현재 어떤 성별로 말하나요,<function_PG>();<function_GQ>(get=True)<end>,0,
8WGQXW,고정 청정 온 그리고 청정 결과 보고서 보여줘,<function_PG>();<function_CE>()<end>,0,
8WHISQ,고정 청정 온 다음으로 스캐닝 청정 켜져있는 중인가요,<function_PG>();<function_IH>(get=True)<end>,0,
8WPSFU,고정 공기 청정 가동 시작해줘 이어서 엘이디 눈 조명을 4로 맞할 수 있니,<function_PG>();<function_WN>(brightness=4)<end>,0,
8XINZG,고정 공기 청정 가동 시작해줘 그리고 목요일 뉴델리 TVOC 농도는 얼마야,"<function_PG>();<function_IO>(timeframe=6, location=뉴델리)<end>",0,
8ZOUPR,청정 켜봐 그리고 선택 공간 청정 잠깐 일시 정지해주세요,<function_PG>();<function_YA>(move=1)<end>,0,
8ZWUYP,고정 공기 청정 가동 시작해줘 그리고 이쪽으로 틀어줄 수 있어,<function_PG>();<function_FR>()<end>,0,
9AFYKZ,고정 공청 기능 켜줘 그리고 수요일 방콕 공기질 걱정해야 할까,"<function_PG>();<function_IO>(timeframe=5, location=방콕)<end>",0,
9DVJII,고정 공청 기능 켜줘 그리고 목요일 공기질 상태 알려줘,"<function_PG>();<function_IO>(timeframe=6, location=""0"")<end>",0,
9DZQAC,고정 청정 온 다음으로 혹시 에이아이 모드 동시에 켜주실 수 있나요,"<function_PG>();<function_BP>(enable=0, type=2)<end>",0,
9ERMDF,고정 청정 온 그 후에 화요일 자카르타 공기질 때문에 마스크 써야 할까,"<function_PG>();<function_IO>(timeframe=4, location=자카르타)<end>",0,
9EWIKR,고정 청정 온 중풍 바람 세기로 해줘,<function_PG>();<function_NK>(speed=2)<end>,0,
9FVIIR,청정 켜봐 다음으로 유뷔 엘리디 작동 정지해,<function_PG>();<function_NN>(enable=False)<end>,0,
9GNHWG,공기 청정기 켜줘,<function_PG>()<end>,0,
9HQQQU,고정 공기 청정 실행해줘 토요일 미세먼지 농도 어때,"<function_PG>();<function_IO>(timeframe=8, location=""0"")<end>",0,
9IQPXM,고정 공기 청정 가동 시작해줘 그러고 나서 실내 공기질 테마로 화면 설정해줘,<function_PG>();<function_HG>(theme=2)<end>,0,
9IWFZZ,청정 켜봐 화씨 단위로 바꿔주세요,<function_PG>();<function_EW>(type=1)<end>,0,
9JDFKA,고정 공기 청정 실행해줘 그리고 스캐닝 기능 시작해주세요,<function_PG>();<function_IH>(scan=True)<end>,0,
9KWLGU,고정 공청 기능 켜줘 그 다음에 유뷔 살균 엘이디 기능 시작,<function_PG>();<function_NN>(enable=True)<end>,0,
9LIAQM,고정 공기 청정 실행해줘 그리고 유비이 살균 에리디 불빛 작동 정지해줘,<function_PG>();<function_NN>(enable=False)<end>,0,
9MBVCP,고정 공기 청정 실행해줘 이어서 바람 강도 강풍으로 맞춰줘,<function_PG>();<function_NK>(speed=3)<end>,0,
9MZTLX,고정 공기 청정 가동 시작해줘 그 다음에 주말 파리 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=2, location=파리)<end>",0,
9NONCL,고정 공기 청정 가동 시작해줘 목요일 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=6, location=""0"")<end>",0,
9QGGSC,고정 공기 청정 실행해줘 다음으로 수요일 기기 근처 공기 상태는 어때,"<function_PG>();<function_IO>(timeframe=5, location=""0"")<end>",0,
9QMSDK,청정 켜봐 이어서 유브이 살균 엘이디 기능 켜져 있나요,<function_PG>();<function_NN>(get=True)<end>,0,
9UPVMK,고정 공청 기능 켜줘 기기 언어 설정 한국어로 바꿔줘,<function_PG>();<function_HS>(type=1)<end>,0,
9VLIZK,고정 공청 기능 켜줘 그 다음에 일요일 해남 공기질 때문에 마스크 써야 할까,"<function_PG>();<function_IO>(timeframe=9, location=해남)<end>",0,
9VLTEO,고정 청정 온 그리고 수요일 이스탄불 미세먼지 어때,"<function_PG>();<function_IO>(timeframe=5, location=이스탄불)<end>",0,
9WQFUH,청정 켜봐 그리고 금요일 강남 대기질을 화면에 보여줘,"<function_PG>();<function_IO>(timeframe=7, location=강남)<end>",0,
9XEHJL,청정 켜봐 하이나무 오프해줘,<function_PG>();<function_QT>(enable=False)<end>,0,
9YLKHS,고정 청정 온 그리고 토요일 여기에 공기가 나쁠까,"<function_PG>();<function_IO>(timeframe=8, location=""0"")<end>",0,
9YVEHR,충전 위치로 되돌아가 그리고 청정 켜봐,<function_KI>();<function_PG>()<end>,1,
9ZNBME,고정 공기 청정 가동 시작해줘 이어서 충전하러 복귀,<function_PG>();<function_KI>()<end>,0,
